data,prediction
0.25,0.0794706666666668
0.25,0.0721240000000001
0.25,0.207785666666666
0.25,0.0490273333333335
0.25,0.305818666666666
0.25,0.179463333333334
0.25,0.402576666666668
0.25,0.336759
0.25,0.150258333333333
0.25,0.338267333333334
0.25,0.0566140000000001
0.25,0.29487
0.25,0.329254
0.25,0.0596776666666669
0.25,0.233578
0.25,0.0842750000000002
0.25,0.281660333333333
0.25,0.32323
0.25,0.0624123333333336
0.75,0.741996666666668
0.75,0.710937
0.75,0.485008666666666
0.75,0.88843933333333
0.75,0.671138571428571
0.75,0.71308
0.75,0.5855
0.75,0.513136666666667
0.75,0.751223333333334
0.75,0.515526666666666
0.75,0.714784
0.75,0.67188
0.75,0.531559999999999
0.75,0.674183333333333
0.75,0.731183333333333
0.75,0.732266666666667
0.75,0.713986
0.75,0.43419
0.75,0.765436666666668
0.75,0.714623333333333
0,0.0398313333333333
0,0.0149713333333333
0,0.0747803333333335
0,0.0434160000000001
0,0.0374396666666667
0,0.0630926666666669
0,0.0523373333333335
0,0.0708240000000002
0,0.0539433333333335
0,0.0315949999999999
0,0.0244233333333333
0,0.0377316666666667
0,0.0754320000000001
0,0.0466920000000001
0,0.0564190000000001
0,0.0412030000000001
0,0.0919633333333334
0,0.042095
0,0.0321419999999999
0,0.0422400000000001
1,0.994216000000002
1,0.995156666666669
1,0.995791333333336
1,0.994938000000002
1,0.994519666666669
1,0.99383566666667
1,0.995614000000002
1,0.993990000000002
1,0.992681000000003
1,0.994950333333336
1,0.994378000000002
1,0.993879000000003
1,0.994867333333335
1,0.995171666666669
1,0.994727333333336
1,0.995706333333336
1,0.995228666666669
1,0.995437666666668
1,0.996131666666669
1,0.995893333333335
0.25,0.253630333333334
0.25,0.320337666666667
0.25,0.345021333333334
0.25,0.235672666666667
0.25,0.322875000000001
0.25,0.300854
0.25,0.233317333333333
0.25,0.255849666666667
0.25,0.230317666666667
0.25,0.329185
0.25,0.330572333333334
0.25,0.156306
0.25,0.304911333333334
0.25,0.282425333333333
0.25,0.344257333333335
0.25,0.254170333333334
0.25,0.283532666666667
0.25,0.223298666666667
0.25,0.264175666666667
0.25,0.333345000000001
0.75,0.726783333333333
0.75,0.730666666666667
0.75,0.704579999999999
0.75,0.818226000000001
0.75,0.794346666666669
0.75,0.795763333333336
0.75,0.722876666666666
0.75,0.757346666666667
0.75,0.776850000000002
0.75,0.747246666666668
0.75,0.725486666666667
0.75,0.756192666666669
0.75,0.720513333333334
0.75,0.671546666666666
0.75,0.66109
0.75,0.761468666666668
0.75,0.696763333333332
0.75,0.659536666666665
0.75,0.80534266666667
0.75,0.795473333333337
0,0.0130959999999999
0,0.00718766666666664
0,0.00858299999999997
0,0.036506
0,0.00587699999999999
0,0.0223179999999999
0,0.0140826666666666
